,name,title_english,title_japanese,type,source,producers,genre,studio,episodes,duration,rating,score,scored_by,rank,popularity,favorites,broadcast,premiered_season,premiered_year
5319,Nobara no Julie,Julie the Wild Rose,野ばらのジュリー,TV,Unknown,DAX Production,Historical,,13.0,25 min per ep,G - All Ages,6.04,46.0,12271.0,11043.0,0.0,Unknown,Winter,1979
5323,Inakappe Taishou,General Inakappe,いなかっぺ大将,TV,Unknown,,Comedy,Tatsunoko Production,104.0,24 min per ep,None,6.56,68.0,5530.0,11013.0,0.0,Unknown,Fall,1970
5325,Panty & Stocking with Garterbelt,Panty & Stocking with Garterbelt,パンティ＆ストッキングwithガーターベルト,TV,Original,Kadokawa Shoten,Parody,Gainax,13.0,23 min per ep,R - 17+ (violence & profanity),7.77,113550.0,959.0,383.0,3578.0,Unknown,Fall,2010
5326,Okawari-Boy Starzan-S,OKAWARI-BOY Star Zang S,OKAWARI-BOY スターザンS,TV,Original,,Action,Tatsunoko Production,34.0,25 min per ep,G - All Ages,6.82,34.0,12365.0,11597.0,1.0,Saturdays at 18:30 (JST),Winter,1984
5328,Alice SOS,Alice SOS,アリスＳＯＳ,TV,Original,NHK,Adventure,J.C.Staff,28.0,19 min per ep,G - All Ages,6.15,122.0,7216.0,8607.0,1.0,Unknown,Spring,1998
5330,Shounen Ashibe (TV),Shonen Asibi,少年アシベ,TV,4-koma manga,TBS,Comedy,Life Work,37.0,25 min per ep,G - All Ages,5.97,58.0,7801.0,10858.0,2.0,Thursdays at 19:00 (JST),Spring,1991
5331,Shounen Ashibe 2,Shonen Ashibe 2,少年アシベ２,TV,4-koma manga,TBS,Slice of Life,Life Work,25.0,25 min per ep,G - All Ages,5.38,42.0,12913.0,11590.0,0.0,Saturdays at 17:30 (JST),Fall,1992
5335,Kore wa Zombie Desu ka?,Is This a Zombie?,これはゾンビですか?,TV,Light novel,Kadokawa Shoten,Ecchi,Studio Deen,12.0,24 min per ep,R - 17+ (violence & profanity),7.56,233032.0,1487.0,140.0,3015.0,Unknown,Winter,2011
5338,Chouriki Robo Galatt,Superior Robo Galat,超力ロボ ガラット,TV,Unknown,,Action,Sunrise,25.0,25 min per ep,PG-13 - Teens 13 or older,6.28,39.0,10663.0,11111.0,0.0,Unknown,Fall,1984
5341,"Yosuga no Sora: In Solitude, Where We Are Least Alone.",Yosuga no Sora,"ヨスガノソラ In solitude, where we are least alone.",TV,Visual novel,Starchild Records,Ecchi,feel.,12.0,25 min per ep,R+ - Mild Nudity,6.54,136574.0,5648.0,313.0,1521.0,Mondays at 23:30 (JST),Fall,2010
5344,Dolphin Ouji,Prince Dolphin,ドルフィン王子,TV,Unknown,Fuji TV,Action,,3.0,23 min per ep,G - All Ages,5.41,32.0,10773.0,12044.0,0.0,Unknown,Spring,1965
5348,Nippon-ichi no Otoko no Tamashii,The soul of the best man in Japan,日本一の男の魂,TV,Unknown,,Romance,Studio Deen,16.0,10 min per ep,R+ - Mild Nudity,6.25,68.0,6848.0,9693.0,2.0,Unknown,Winter,1999
5349,Nippon-ichi no Otoko no Tamashii 2,The soul of the best man in Japan 2,日本一の男の魂２,TV,Unknown,,Romance,Studio Deen,16.0,10 min per ep,R+ - Mild Nudity,6.4,48.0,12263.0,10995.0,0.0,Unknown,Spring,1999
5352,Ganbare! Marine Kid,Marine Boy,がんばれ！マリンキッド,TV,Unknown,TBS,Action,,13.0,25 min per ep,PG - Children,5.26,47.0,10940.0,11695.0,0.0,Unknown,Fall,1966
5354,Kaitei Shounen Marine,Marine Boy,海底少年マリン,TV,Unknown,Tele-Cartoon Japan,Kids,,65.0,25 min per ep,PG - Children,6.34,74.0,6475.0,10871.0,0.0,Unknown,Winter,1969
5355,Saru Getchu: On Air 2nd,Sargecu -on -Air ~ 2nd,サルゲッチュ ～オンエアー～2nd,TV,Game,,Comedy,Xebec,51.0,10 min per ep,PG - Children,6.44,81.0,6036.0,10652.0,0.0,Unknown,Fall,2006
5358,Dantalian no Shoka,The Mystic Archives of Dantalian,ダンタリアンの書架,TV,Light novel,TV Tokyo,Historical,Gainax,12.0,25 min per ep,R - 17+ (violence & profanity),7.31,43324.0,2419.0,916.0,465.0,Unknown,Summer,2011
5359,Mouretsu Pirates,Bodacious Space Pirates,モーレツ宇宙海賊,TV,Light novel,Starchild Records,Sci-Fi,Satelight,26.0,24 min per ep,PG-13 - Teens 13 or older,7.21,20516.0,2831.0,1504.0,257.0,Sundays at 00:30 (JST),Winter,2012
5366,Star Driver: Kagayaki no Takuto,Star Driver,STAR DRIVER 輝きのタクト,TV,Original,Aniplex,Romance,Bones,25.0,25 min per ep,PG-13 - Teens 13 or older,7.31,33102.0,2443.0,1114.0,542.0,Sundays at 17:00 (JST),Fall,2010
5369,Toaru Majutsu no Index II,A Certain Magical Index II,とある魔術の禁書目録Ⅱ,TV,Light novel,Geneon Universal Entertainment,Magic,J.C.Staff,24.0,23 min per ep,R - 17+ (violence & profanity),7.77,143333.0,964.0,304.0,1523.0,Fridays at 23:30 (JST),Fall,2010
5376,Denkou Chou Tokkyuu Hikarian,Lightning Super Express Hikarian,電光超特急ヒカリアン,TV,Unknown,TV Tokyo,Adventure,,52.0,25 min per ep,G - All Ages,6.54,117.0,5620.0,10723.0,3.0,Unknown,Spring,2002
5395,Kuruneko 2nd Season,Cats,くるねこ,TV,Manga,Kadokawa Pictures Japan,Slice of Life,Studio Deen,50.0,2 min per ep,G - All Ages,7.24,251.0,2705.0,8967.0,1.0,Saturdays at 11:40 (JST),Summer,2010
5397,O-bake no... Holly,Ghost ... Holy,おばけの…　ホーリー,TV,Unknown,NHK,Magic,,200.0,5 min per ep,G - All Ages,6.24,75.0,6888.0,11187.0,1.0,Unknown,Winter,1991
5399,Edokko Boy: Gatten Tasuke,Edokko Boy Gaten Taisuke,江戸っ子ボーイ がってん太助,TV,Manga,TV Tokyo,Sports,Studio Pierrot,22.0,25 min per ep,G - All Ages,6.18,39.0,10817.0,11285.0,0.0,Unknown,Fall,1990
5402,IS: Infinite Stratos,Infinite Stratos,IS 〈インフィニット・ストラトス〉,TV,Light novel,Lantis,Sci-Fi,8bit,12.0,24 min per ep,PG-13 - Teens 13 or older,7.0,213903.0,3675.0,174.0,2067.0,Fridays at 01:25 (JST),Winter,2011
5409,RPG Densetsu Hepoi,RPG Legendary Hepoi,RPG伝説ヘポイ,TV,Unknown,Nihon Ad Systems,Fantasy,Studio Gallop,50.0,25 min per ep,None,6.88,34.0,12692.0,11220.0,2.0,Unknown,Fall,1990
5412,Hakuouki Hekketsuroku,Hakuoki ~Demon of the Fleeting Blossom~ Record of the Jade Blood,薄桜鬼 碧血録,TV,Visual novel,,Josei,Studio Deen,10.0,24 min per ep,R - 17+ (violence & profanity),7.72,30421.0,1070.0,1434.0,528.0,Mondays at Unknown,Fall,2010
5413,Oden-kun,Oden -kun,おでんくん,TV,Picture book,Studio Egg,Comedy,,156.0,7 min per ep,G - All Ages,7.0,23.0,12328.0,12109.0,1.0,Unknown,Summer,2005
5414,Arakawa Under the Bridge x Bridge,Arakawa Under the Bridge x Bridge,荒川アンダー ザブリッジ×ブリッジ,TV,Manga,Square Enix,Seinen,Shaft,13.0,23 min per ep,PG-13 - Teens 13 or older,7.81,57512.0,873.0,904.0,356.0,Unknown,Fall,2010
5423,Nogsaegjeoncha Hamos,Hamos: The Green Chariot,녹색전차 해모수,TV,Manga,KBS,Adventure,,26.0,30 min per ep,PG - Children,6.38,126.0,6293.0,10311.0,3.0,Unknown,Winter,1998
5424,Pokemon Best Wishes!,Pokémon: Black & White,ポケットモンスターベストウイッシュ,TV,Game,TV Tokyo,Adventure,OLM,84.0,22 min per ep,PG - Children,6.6,25035.0,5359.0,1692.0,145.0,Thursdays at 19:00 (JST),Fall,2010
5426,Chirorin Mura Monogatari,Nutsberry Town,チロリン村物語,TV,Unknown,NHK,Kids,,170.0,10 min per ep,G - All Ages,6.69,220.0,4915.0,9984.0,1.0,Unknown,Spring,1992
5443,Tsuruhime Ja!,Tsuruhime!,つる姫じゃ～っ！,TV,Unknown,,Slice of Life,Madhouse,49.0,24 min per ep,G - All Ages,5.43,23.0,13325.0,12750.0,0.0,Unknown,Winter,1990
5445,Motto To LOVE-Ru,Motto To LOVE Ru,もっと To LOVEる -とらぶる-,TV,Manga,Geneon Universal Entertainment,Comedy,Xebec,12.0,24 min per ep,R+ - Mild Nudity,7.49,114937.0,1706.0,460.0,821.0,Unknown,Fall,2010
5460,Super Robot Taisen OG: The Inspector,Super Robot Wars OG: The Inspector,スーパーロボット大戦OG -ジ・インスペクター-,TV,Unknown,Sotsu,Mecha,Asahi Production,26.0,23 min per ep,PG-13 - Teens 13 or older,7.32,2569.0,2406.0,4590.0,43.0,Unknown,Fall,2010
5465,Steins;Gate,Steins;Gate,STEINS;GATE,TV,Visual novel,Frontier Works,Thriller,White Fox,24.0,24 min per ep,PG-13 - Teens 13 or older,9.14,633590.0,3.0,7.0,104173.0,Wednesdays at 02:05 (JST),Spring,2011
5474,Bakuhatsu Gorou,Goro Baku,ばくはつ五郎,TV,Unknown,Tele-Cartoon Japan,Comedy,,26.0,25 min per ep,G - All Ages,5.33,33.0,10462.0,11018.0,0.0,Unknown,Spring,1970
5477,Hanasaku Iroha,Hanasaku Iroha: Blossoms for Tomorrow,花咲くいろは,TV,Original,Bandai Visual,Slice of Life,P.A. Works,26.0,24 min per ep,PG-13 - Teens 13 or older,8.0,87178.0,569.0,413.0,2092.0,Sundays at 22:00 (JST),Spring,2011
5488,Fractale,Fractale,フラクタル,TV,Original,Fuji TV,Sci-Fi,A-1 Pictures,11.0,23 min per ep,PG-13 - Teens 13 or older,7.02,28979.0,3591.0,1375.0,201.0,Fridays at 00:45 (JST),Winter,2011
5498,Dragon Crisis!,Dragon Crisis!,ドラゴンクライシス!,TV,Light novel,Yomiuri Telecasting,School,Studio Deen,12.0,23 min per ep,PG-13 - Teens 13 or older,6.84,65877.0,4242.0,771.0,289.0,Mondays at 01:30 (JST),Winter,2011
5499,Yumekui Merry,Dream Eater Merry,夢喰いメリー,TV,Manga,Pony Canyon,Supernatural,J.C.Staff,13.0,24 min per ep,PG-13 - Teens 13 or older,7.02,50086.0,3618.0,908.0,281.0,Fridays at Unknown,Winter,2011
5512,Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,"Hanako -san, a new school at the school, came !!",学校のｺﾜｲうわさ 新・花子さんがきた!!,TV,Unknown,,Horror,,33.0,4 min per ep,None,5.78,32.0,10920.0,9987.0,1.0,Unknown,Summer,2010
5513,Battle Spirits: Brave,Battle Spirits Brave,バトルスピリッツ ブレイヴ,TV,Card game,Nagoya Broadcasting Network,Adventure,Sunrise,50.0,24 min per ep,PG - Children,7.16,605.0,3019.0,7288.0,6.0,Sundays at 07:00 (JST),Fall,2010
5524,Freezing,Freezing,フリージング,TV,Manga,Media Factory,Martial Arts,A.C.G.T.,12.0,24 min per ep,R+ - Mild Nudity,7.08,119297.0,3349.0,394.0,1100.0,Saturdays at 09:30 (JST),Winter,2011
5528,Denpa Onna to Seishun Otoko,Ground Control to Psychoelectric Girl,電波女と青春男,TV,Light novel,Starchild Records,Sci-Fi,Shaft,12.0,24 min per ep,PG-13 - Teens 13 or older,7.25,90299.0,2652.0,430.0,906.0,Unknown,Spring,2011
5529,Chie-chan Funsenki: Jarinko Chie,Chie -chan's striking Kenjinko Chie,チエちゃん奮戦記 じゃりン子チエ,TV,Unknown,,Slice of Life,,39.0,25 min per ep,None,7.25,40.0,10616.0,11674.0,0.0,Unknown,Fall,1991
5535,Ginga Hyouryuu Vifam 13,Galaxy drifting bifam 13,銀河漂流バイファム13,TV,Unknown,,Mecha,Sunrise,26.0,24 min per ep,G - All Ages,6.79,43.0,10985.0,10948.0,1.0,Sundays at 02:05 (JST),Spring,1998
5538,Miyanishi Tatsuya Gekijou: Omae Umasou da na,Tatsuya Miyanishi Theater You're good,宮西達也劇場 おまえうまそうだな,TV,Picture book,Ajia-Do,Adventure,,20.0,3 min per ep,G - All Ages,6.48,373.0,5876.0,8710.0,2.0,Unknown,Fall,2010
5547,Seupideuwang Beongae,Wings of Dragon,스피드왕 번개,TV,Unknown,,Game,,26.0,24 min per ep,None,6.19,122.0,7088.0,10720.0,0.0,Unknown,Spring,1998
5548,Pururun! Shizuku-chan,Pururun!Shizuku -chan,ぷるるんっ！しずくちゃん,TV,Manga,,Comedy,TMS Entertainment,51.0,24 min per ep,None,5.73,33.0,12620.0,11874.0,1.0,Unknown,Fall,2006
5549,A-jang.com,Ajang.com,아장닷컴,TV,Unknown,,Fantasy,,13.0,25 min per ep,G - All Ages,5.87,76.0,8051.0,10750.0,3.0,Unknown,Fall,2001
5552,Rainbow Sentai Robin,Rainbow Sentai Robin,レインボー戦隊ロビン,TV,Unknown,,Adventure,Toei Animation,48.0,26 min per ep,G - All Ages,6.27,59.0,6780.0,10651.0,0.0,Unknown,Spring,1966
5553,Yume-iro Pâtissière SP Professional,Dream Patissiere SP (Special) Professional,夢色パティシエールSP（スペシャル）プロフェッショナル,TV,Manga,Shueisha,Slice of Life,Studio Pierrot,13.0,24 min per ep,G - All Ages,7.75,14886.0,1003.0,2495.0,159.0,Unknown,Fall,2010
5559,Ninpen Manmaru,Ninja Pen Manmaru,忍ペンまん丸,TV,Manga,,Shounen,Shin-Ei Animation,30.0,24 min per ep,G - All Ages,6.52,33.0,12254.0,11937.0,0.0,Saturdays at 18:00 (JST),Summer,1997
5564,Coppelion,Coppelion,コッペリオン,TV,Manga,Starchild Records,Seinen,GoHands,13.0,24 min per ep,PG-13 - Teens 13 or older,6.54,38876.0,5618.0,1023.0,191.0,Unknown,Fall,2013
5569,Dororon Enma-kun Meeramera,Ghastly Prince Enma Burning Up,Dororonえん魔くん メ〜ラめら,TV,Manga,Mainichi Broadcasting System,Demons,Brain's Base,12.0,24 min per ep,R - 17+ (violence & profanity),6.6,4435.0,5337.0,3500.0,24.0,Unknown,Spring,2011
5584,Beelzebub,Beelzebub,べるぜバブ,TV,Manga,Studio Pierrot,School,Pierrot Plus,60.0,24 min per ep,PG-13 - Teens 13 or older,8.01,148483.0,554.0,215.0,4097.0,Sundays at Unknown,Winter,2011
5586,Ichigo Ichie: Kimi no Kotoba,Ichi -kai -Kimino Kotoba ~,一期一会～キミノコトバ～,TV,Unknown,Four Some,Slice of Life,,13.0,5 min per ep,G - All Ages,6.35,31.0,11300.0,10824.0,0.0,Unknown,Fall,2010
5588,Zero Tester,Zero tester,ゼロテスター,TV,Original,Tohokushinsha Film Corporation,Mecha,Sunrise,38.0,24 min per ep,PG-13 - Teens 13 or older,6.21,42.0,13649.0,11078.0,1.0,Unknown,Fall,1973
5596,Pururun! Shizuku-chan Aha,Pururun! Shizuku -chan Aha,ぷるるんっ! しずくちゃんあはっ☆,TV,Manga,,Comedy,TMS Entertainment,51.0,24 min per ep,None,5.38,26.0,12621.0,12594.0,2.0,Unknown,Fall,2007
5599,Cardfight!! Vanguard,Cardfight!! Vanguard,カードファイト!! ヴァンガード,TV,Original,Dentsu,Shounen,TMS Entertainment,65.0,24 min per ep,PG-13 - Teens 13 or older,7.19,13919.0,2892.0,2189.0,259.0,Saturdays at 08:00 (JST),Winter,2011
5600,Bucket de Gohan,Rice with a bucket,バケツでごはん,TV,Unknown,Yomiuri Telecasting,Comedy,,20.0,25 min per ep,None,6.04,28.0,10540.0,12381.0,1.0,Mondays at 19:00 (JST),Winter,1996
5617,Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,I don't like my brother at all !!,お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!,TV,Manga,Starchild Records,Harem,Zexcs,12.0,23 min per ep,PG-13 - Teens 13 or older,6.25,30602.0,6851.0,1426.0,56.0,Sundays at 00:30 (JST),Winter,2011
5621,Haiyoru! Nyaruani: Remember My Love(craft-sensei),Haiyoru! Nyaruani: Remember My Mr. Lovecraft,這いよる!ニャルアニ リメンバー・マイ・ラブ(クラフト先生),TV,Light novel,SoftBank Creative,Sci-Fi,DLE,11.0,4 min per ep,PG-13 - Teens 13 or older,6.3,9064.0,6629.0,2769.0,6.0,Unknown,Winter,2011
5627,Big X,Big X,ビッグX,TV,Manga,Tokyo Movie Shinsha,Shounen,,59.0,25 min per ep,None,6.21,55.0,6988.0,10353.0,1.0,Unknown,Spring,1964
5630,30-sai no Hoken Taiiku,A Thirty-Year Old's Health and Physical Education,30歳の保健体育,TV,Book,,Seinen,Gathering,12.0,10 min per ep,R - 17+ (violence & profanity),6.78,19103.0,4498.0,1813.0,63.0,Unknown,Spring,2011
5638,Kimi ni Todoke 2nd Season,Kimi ni Todoke: From Me To You 2,君に届け 2ND SEASON,TV,Manga,VAP,Romance,Production I.G,12.0,23 min per ep,PG-13 - Teens 13 or older,8.11,143344.0,432.0,338.0,1199.0,Wednesdays at 00:59 (JST),Winter,2011
5648,Maria†Holic Alive,Maria†Holic Alive,まりあ†ほりっく あらいぶ,TV,Manga,TV Tokyo Music,Comedy,Shaft,12.0,23 min per ep,PG-13 - Teens 13 or older,7.03,21388.0,3563.0,1697.0,63.0,Unknown,Spring,2011
5659,Astarotte no Omocha!,Astarotte's Toy,アスタロッテのおもちゃ！,TV,Manga,Kadokawa Shoten,Comedy,Diomedea,12.0,23 min per ep,PG-13 - Teens 13 or older,6.73,49047.0,4749.0,961.0,219.0,Unknown,Spring,2011
5666,Itsuka Tenma no Kuro Usagi,A Dark Rabbit has Seven Lives,いつか天魔の黒ウサギ,TV,Light novel,Frontier Works,Ecchi,Zexcs,12.0,25 min per ep,R+ - Mild Nudity,6.74,43430.0,4718.0,985.0,210.0,Saturdays at 01:05 (JST),Summer,2011
5669,Mahou Shoujo Madoka★Magica,Puella Magi Madoka Magica,魔法少女まどか★マギカ,TV,Original,Aniplex,Drama,Shaft,12.0,24 min per ep,PG-13 - Teens 13 or older,8.44,412980.0,140.0,54.0,36531.0,Fridays at 01:25 (JST),Winter,2011
5677,A-Channel,A-Channel,Aチャンネル,TV,4-koma manga,Aniplex,Slice of Life,Studio Gokumi,12.0,24 min per ep,PG-13 - Teens 13 or older,7.02,33207.0,3582.0,1229.0,296.0,Fridays at 01:40 (JST),Spring,2011
5697,Nyani ga Nyandaa Nyandaa Kamen,Nyani is Nyan -Nyander Kamen,ニャニがニャンだー ニャンダーかめん,TV,Picture book,,Kids,Sunrise,83.0,25 min per ep,PG - Children,6.66,99.0,5069.0,11059.0,2.0,Sundays at 07:00 (JST),Winter,2000
5711,Level E,Level E,レベルE,TV,Manga,Aniplex,Comedy,Studio Pierrot,13.0,24 min per ep,R - 17+ (violence & profanity),7.52,31057.0,1605.0,1335.0,291.0,Tuesdays at Unknown,Winter,2011
5724,SKET Dance,SKET Dance,スケットダンス,TV,Manga,TV Tokyo,School,Tatsunoko Production,77.0,24 min per ep,PG-13 - Teens 13 or older,8.32,47283.0,229.0,676.0,2601.0,Thursdays at 18:00 (JST),Spring,2011
5736,Osomatsu-kun (1988),Osomatsu-kun (1988),おそ松くん,TV,Manga,Fuji TV,Comedy,Studio Pierrot,86.0,24 min per ep,G - All Ages,6.88,431.0,4110.0,6279.0,18.0,Saturdays at 18:30 (JST),Winter,1988
5756,Ao no Exorcist,Blue Exorcist,青の祓魔師(エクソシスト),TV,Manga,Aniplex,Action,A-1 Pictures,25.0,24 min per ep,PG-13 - Teens 13 or older,7.8,568408.0,888.0,16.0,13811.0,Sundays at 17:00 (JST),Spring,2011
5757,Oretachi ni Tsubasa wa Nai: Under the Innocent Sky.,We Without Wings – Under the Innocent Sky,俺たちに翼はない -under the innocent sky.,TV,Visual novel,Lantis,Ecchi,Nomad,12.0,24 min per ep,R+ - Mild Nudity,6.8,24910.0,4442.0,1388.0,146.0,Unknown,Spring,2011
5760,Sekaiichi Hatsukoi,Sekai Ichi Hatsukoi - World's Greatest First Love,世界一初恋 TV,TV,Manga,Lantis,Drama,Studio Deen,12.0,23 min per ep,PG-13 - Teens 13 or older,8.04,73514.0,516.0,732.0,3043.0,Unknown,Spring,2011
5763,Nekogami Yaoyorozu,The Everyday Tales of a Cat God,猫神やおよろず,TV,Manga,Sotsu,Supernatural,AIC Plus+,12.0,23 min per ep,PG-13 - Teens 13 or older,6.69,5128.0,4932.0,3303.0,18.0,Unknown,Summer,2011
5766,Ikoku Meiro no Croisée The Animation,Croisée in a Foreign Labyrinth The Animation,異国迷路のクロワーゼ The Animation,TV,Manga,Media Factory,Historical,Satelight,12.0,23 min per ep,G - All Ages,7.47,19030.0,1770.0,1768.0,145.0,Mondays at 00:30 (JST),Summer,2011
5769,Tiger & Bunny,Tiger & Bunny,TIGER & BUNNY （タイガー・アンド・バニー）,TV,Original,Bandai Visual,Mystery,Sunrise,25.0,24 min per ep,PG-13 - Teens 13 or older,8.03,58542.0,533.0,633.0,2572.0,Unknown,Spring,2011
5772,Lan Mao,Blue Cat,蓝猫,TV,Original,Beijing Sunchime Happy Culture Company,Comedy,,3057.0,25 min per ep,PG - Children,5.64,11.0,11813.0,10422.0,0.0,Not scheduled once per week,Fall,1999
5787,Gintama',Gintama Season 2,銀魂',TV,Manga,TV Tokyo,Samurai,Sunrise,51.0,24 min per ep,PG-13 - Teens 13 or older,9.1,101593.0,7.0,344.0,4754.0,Mondays at 18:00 (JST),Spring,2011
5794,Phi Brain: Kami no Puzzle,Phi-Brain ~ Puzzle of God,ファイ・ブレイン 神のパズル,TV,Original,NHK,Mystery,Sunrise,25.0,25 min per ep,PG-13 - Teens 13 or older,7.27,32314.0,2594.0,1130.0,211.0,Unknown,Fall,2011
5797,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,anohana: The Flower We Saw That Day,あの日見た花の名前を僕達はまだ知らない。,TV,Original,Aniplex,Slice of Life,A-1 Pictures,11.0,22 min per ep,PG-13 - Teens 13 or older,8.53,439345.0,93.0,49.0,22969.0,Fridays at 01:15 (JST),Spring,2011
5810,Yu☆Gi☆Oh! Zexal,Yu-Gi-Oh! Zexal,遊☆戯☆王ZEXAL,TV,Manga,TV Tokyo,Action,Studio Gallop,73.0,24 min per ep,PG-13 - Teens 13 or older,6.48,16144.0,5896.0,2097.0,209.0,Unknown,Spring,2011
5815,Bakuman. 2nd Season,Bakuman.,バクマン。2ndシーズン,TV,Manga,NHK,Drama,J.C.Staff,25.0,24 min per ep,PG-13 - Teens 13 or older,8.47,132124.0,119.0,391.0,1140.0,Saturdays at 17:30 (JST),Fall,2011
5816,Toriko,Toriko,トリコ,TV,Manga,Yomiko Advertising,Adventure,Toei Animation,147.0,23 min per ep,PG-13 - Teens 13 or older,7.68,24850.0,1171.0,1208.0,728.0,Sundays at 09:00 (JST),Spring,2011
5824,Nurarihyon no Mago: Sennen Makyou,Nura: Rise of the Yokai Clan - Demon Capital,ぬらりひょんの孫 千年魔京,TV,Manga,Yomiuri Telecasting,Action,Studio Deen,24.0,23 min per ep,PG-13 - Teens 13 or older,8.09,55423.0,460.0,933.0,577.0,Unknown,Summer,2011
5834,Seikon no Qwaser II,The Qwaser of Stigmata II,聖痕のクェイサー II,TV,Manga,,Seinen,Hoods Entertainment,12.0,24 min per ep,R+ - Mild Nudity,6.58,40353.0,5456.0,1059.0,108.0,Tuesdays at 02:30 (JST),Spring,2011
5839,Hoshizora e Kakaru Hashi,A Bridge to the Starry Skies,星空へ架かる橋,TV,Visual novel,Dentsu,Romance,Doga Kobo,12.0,25 min per ep,R+ - Mild Nudity,6.94,62904.0,3869.0,819.0,302.0,Mondays at 09:00 (JST),Spring,2011
5840,Kami nomi zo Shiru Sekai II,The World God Only Knows II,神のみぞ知るセカイ II,TV,Manga,TV Tokyo,Shounen,Manglobe,12.0,23 min per ep,PG-13 - Teens 13 or older,8.05,164020.0,497.0,307.0,914.0,Tuesdays at 01:30 (JST),Spring,2011
5842,Fate/Zero,Fate/Zero,フェイト/ゼロ,TV,Novel,Aniplex,Fantasy,ufotable,13.0,28 min per ep,R - 17+ (violence & profanity),8.42,411931.0,155.0,47.0,22736.0,Sundays at 00:00 (JST),Fall,2011
5851,Softenni,Softenni! the Animation,そふてにっ,TV,Manga,Geneon Universal Entertainment,Sports,Xebec,12.0,24 min per ep,R+ - Mild Nudity,6.58,6617.0,5458.0,3002.0,20.0,Unknown,Spring,2011
5852,Mayo Chiki!,Mayo Chiki!,まよチキ!,TV,Light novel,Starchild Records,School,feel.,13.0,24 min per ep,R+ - Mild Nudity,7.46,160960.0,1815.0,278.0,1578.0,Unknown,Summer,2011
5871,Sacred Seven,Sacred Seven,セイクリッドセブン,TV,Original,,Super Power,Sunrise,12.0,24 min per ep,PG-13 - Teens 13 or older,6.7,25736.0,4906.0,1495.0,73.0,Sundays at 02:28 (JST),Summer,2011
5872,No.6,No. 6,NO.6［ナンバー・シックス］,TV,Light novel,Aniplex,Drama,Bones,11.0,23 min per ep,R - 17+ (violence & profanity),7.7,118772.0,1115.0,348.0,5810.0,Fridays at 01:15 (JST),Summer,2011
5873,Usagi Drop,Bunny Drop,うさぎドロップ,TV,Manga,Fuji TV,Slice of Life,Production I.G,11.0,22 min per ep,PG-13 - Teens 13 or older,8.51,151718.0,103.0,267.0,4990.0,Fridays at 00:45 (JST),Summer,2011
5874,C: The Money of Soul and Possibility Control,[C] CONTROL - The Money and Soul of Possibility,「C」 THE MONEY OF SOUL AND POSSIBILITY CONTROL,TV,Original,Fuji TV,Super Power,Tatsunoko Production,11.0,22 min per ep,PG-13 - Teens 13 or older,7.36,107313.0,2225.0,415.0,1097.0,Fridays at 00:45 (JST),Spring,2011
5875,Nichijou,Nichijou - My Ordinary Life,日常,TV,Manga,Lantis,Shounen,Kyoto Animation,26.0,23 min per ep,PG-13 - Teens 13 or older,8.51,169129.0,102.0,133.0,13731.0,Sundays at 02:20 (JST),Spring,2011
5877,DD Hokuto no Ken,DD Fist of the North Star,DD北斗之拳,TV,Manga,North Stars Pictures,Seinen,,12.0,3 min per ep,PG-13 - Teens 13 or older,6.24,1099.0,6875.0,6255.0,10.0,Wednesdays at 02:35 (JST),Winter,2011
5894,Maji de Watashi ni Koi Shinasai!,Majikoi: Oh! Samurai Girls,真剣で私に恋しなさい！,TV,Visual novel,,Comedy,Lerche,12.0,23 min per ep,PG-13 - Teens 13 or older,6.94,77610.0,3881.0,521.0,474.0,Sundays at 01:00 (JST),Fall,2011
5895,"Yondemasu yo, Azazel-san. (TV)","You're Being Summoned, Azazel",よんでますよ、アザゼルさん。,TV,Manga,,Demons,Production I.G,13.0,12 min per ep,R - 17+ (violence & profanity),7.6,25198.0,1385.0,1559.0,304.0,Unknown,Spring,2011
5896,Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,Twin Angel: Twinkle Paradise,快盗天使ツインエンジェル 〜キュンキュン☆ときめきパラダイス!!〜,TV,Game,,Magic,J.C.Staff,12.0,24 min per ep,PG-13 - Teens 13 or older,6.05,1658.0,7570.0,4797.0,3.0,Unknown,Summer,2011
5902,Ki-Fighter Taerang,Ki Fighter,キ・ファイター テラン,TV,Unknown,,Kids,,26.0,25 min per ep,PG - Children,5.71,24.0,11606.0,13200.0,1.0,Unknown,Summer,2002
5905,Sekai Monoshiri Ryoko,World -global trip,世界ものしり旅行,TV,Unknown,,Comedy,,1006.0,5 min per ep,G - All Ages,6.05,83.0,7585.0,11250.0,0.0,Unknown,Fall,1971
5912,Ultra B,Ultra B,ウルトラ B,TV,Manga,,Super Power,Shin-Ei Animation,119.0,10 min per ep,G - All Ages,5.9,74.0,7987.0,11666.0,0.0,Unknown,Spring,1987
