,name,title_english,title_japanese,type,source,producers,genre,studio,episodes,duration,rating,score,scored_by,rank,popularity,favorites,broadcast,premiered_season,premiered_year
48,Soukyuu no Fafner: Dead Aggressor,Fafner of the Blue Sky,蒼穹のファフナーDead Aggressor,TV,Original,TV Tokyo Music,Drama,Xebec,25.0,24 min per ep,PG-13 - Teens 13 or older,7.35,10912.0,2286.0,2124.0,232.0,Unknown,Summer,2004
49,Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha,魔法少女リリカルなのは,TV,Original,Starchild Records,Super Power,Seven Arcs,13.0,25 min per ep,PG-13 - Teens 13 or older,7.48,32683.0,1741.0,1209.0,967.0,Unknown,Fall,2004
50,Mahou Shoujo Lyrical Nanoha A's,Magical Girl Lyrical Nanoha A's,魔法少女リリカルなのは エース,TV,Original,Starchild Records,Magic,Seven Arcs,13.0,25 min per ep,PG-13 - Teens 13 or older,8.05,26706.0,499.0,1672.0,952.0,Unknown,Fall,2005
51,Shuffle!,Shuffle!,SHUFFLE! (シャッフル!),TV,Visual novel,Lantis,Harem,Xebec,24.0,23 min per ep,R+ - Mild Nudity,7.21,101261.0,2835.0,433.0,1503.0,Unknown,Summer,2005
52,Mobile Suit Gundam,Mobile Suit Gundam,機動戦士ガンダム,TV,Original,Sotsu,Sci-Fi,Sunrise,43.0,25 min per ep,PG-13 - Teens 13 or older,7.85,31375.0,804.0,1270.0,1438.0,Saturdays at 17:30 (JST),Spring,1979
57,Mobile Suit Zeta Gundam,Mobile Suit Zeta Gundam,機動戦士Ζガンダム,TV,Original,Sotsu,Romance,Sunrise,50.0,24 min per ep,PG-13 - Teens 13 or older,7.99,20063.0,586.0,1923.0,1292.0,Unknown,Spring,1985
58,Mobile Suit Gundam ZZ,Mobile Suit Gundam ZZ,機動戦士ガンダムZZ,TV,Original,Sotsu,Mecha,Sunrise,47.0,24 min per ep,PG-13 - Teens 13 or older,6.73,11017.0,4768.0,2642.0,80.0,Saturdays at 17:30 (JST),Spring,1986
61,Mobile Suit Victory Gundam,Mobile Suit V Gundam,機動戦士Vガンダム,TV,Original,TV Asahi,Drama,Sunrise,51.0,24 min per ep,PG-13 - Teens 13 or older,6.85,6156.0,4214.0,3167.0,82.0,Fridays at 17:00 (JST),Spring,1993
62,Mobile Suit Gundam Wing,Mobile Suit Gundam Wing,新機動戦記ガンダムW,TV,Original,TV Asahi,Sci-Fi,Sunrise,49.0,24 min per ep,PG-13 - Teens 13 or older,7.82,62406.0,867.0,909.0,2278.0,Fridays at 17:00 (JST),Spring,1995
64,After War Gundam X,After War Gundam X,機動新世紀ガンダムX,TV,Original,TV Asahi,Space,Sunrise,39.0,24 min per ep,PG-13 - Teens 13 or older,7.36,10345.0,2219.0,2637.0,164.0,Fridays at 17:00 (JST),Spring,1996
